Indicator,Type,Malware Families,Related Actors,Related Reports,Kill Chain
192.155.82.120,IP Address,"Chipotle, Culebra",--,--,Command & Control (C2)
86.106.74.120,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
virustesting.zapto.org,Domain,"NanoCore, Quasar",--,--,Actions on Objectives
jiq.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
www.jackdefib.com,Domain,--,LABYRINTH CHOLLIMA,--,--
jackdefib.com,Domain,--,LABYRINTH CHOLLIMA,--,Command & Control (C2)
pre-descending.gl.at.ply.gg,Domain,AsyncRAT,--,--,--
following-s.gl.at.ply.gg,Domain,Quasar,--,--,Actions on Objectives
109.191.33.34,IP Address,njRATLime,--,--,Command & Control (C2)
188.126.89.137,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
baubl.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
ufh.settings.oysterfloats.org,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
88.119.167.65,IP Address,--,--,--,--
googledvideo.com,Domain,--,--,--,--
85.206.161.38,IP Address,--,--,--,--
northropgrumann.com,Domain,--,--,--,--
178.140.228.89,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
117.152.93.137,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
171.36.13.114,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
2.58.15.44,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
79.110.52.179,IP Address,--,--,--,--
fast-notify.com,Domain,--,--,--,--
tm.trust-shared.com,Domain,BlackDelivery,--,--,Delivery
2.135.64.237,IP Address,AhMyth,--,--,Command & Control (C2) > Actions on Objectives
newssssssssssssss.duckdns.org,Domain,Remcos,--,--,--
goggle.ddns.net,Domain,Quasar,--,--,Actions on Objectives
black007.ddns.net,Domain,njRAT,--,--,--
dahuahikvision.duckdns.org,Domain,AsyncRAT,--,--,--
update.devicebug.com,Domain,--,--,--,--
188.208.141.206,IP Address,Spyder,--,--,--
monlamit.net,Domain,--,--,--,--
188.208.141.204,IP Address,--,--,--,--
monlamit.com,Domain,--,--,--,Delivery > Command & Control (C2)
prosafete.com,Domain,--,--,--,--
37.120.198.200,IP Address,Spyder,--,--,--
tibetpost.net,Domain,--,--,--,--
kagyumonlam.org,Domain,--,--,--,--
aug-grounds.gl.at.ply.gg,Domain,njRAT,--,--,--
194.0.188.88,IP Address,AhMyth,--,--,Command & Control (C2) > Actions on Objectives
yandext777.myftp.biz,Domain,PoisonIvy,--,--,--
yandext777.serveblog.net,Domain,PoisonIvy,--,--,--
gphgmafd-32640.portmap.host,Domain,njRAT,--,--,--
45.128.96.133,IP Address,AsyncRAT,--,--,Command & Control (C2)
139.59.36.70,IP Address,AsyncRAT,--,--,Command & Control (C2)
111.173.116.170,IP Address,AsyncRAT,--,--,Command & Control (C2)
mike-col.gl.at.ply.gg,Domain,RedLineStealer,--,--,Actions on Objectives
5.39.218.210,IP Address,TrueBot,--,--,Command & Control (C2) > Actions on Objectives
5.188.87.50,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
82.153.64.23,IP Address,AsyncRAT,--,--,Command & Control (C2)
brodsky-amy-and-gould.s3.ca-central-1.amazonaws.com,Domain,Crabba,--,--,Delivery
168.100.10.115,IP Address,Meterpreter,--,--,Command & Control (C2)
46.13.25.39,IP Address,NanoCore,--,--,Command & Control (C2)
rankinelut.ru,Domain,Netwire,--,--,--
office365.press,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
saadma2.ddns.net,Domain,njRAT,--,--,--
ahmedmost.ddns.net,Domain,njRAT,--,--,--
45.61.133.192,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
88.241.178.11,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
cobaltstriketeamserver.centralus.cloudapp.azure.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
138.199.59.35,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
croshack71.duckdns.org,Domain,CybergateRAT,--,--,--
47.120.39.201,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
144.91.79.54,IP Address,njRATLime,--,--,Command & Control (C2)
156.146.57.189,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
condition-clearance.gl.at.ply.gg,Domain,"AsyncRAT, njRAT",--,--,--
124.222.97.236,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
124.220.80.206,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
152.89.217.229,IP Address,SectopRAT,--,--,Command & Control (C2)
121.62.22.121,IP Address,AsyncRAT,--,--,Command & Control (C2)
41.216.183.150,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
investment-bidding.gl.at.ply.gg,Domain,Quasar,--,--,Actions on Objectives
jean0123-44661.portmap.host,Domain,Quasar,--,--,Actions on Objectives
152.32.169.88,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
frp-fun.top,Domain,AsyncRAT,--,--,--
kinemasteres.com,Domain,Quasar,--,--,Actions on Objectives
sso-iterable.com,Domain,SlashNext:SocialEngineering,--,--,--
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
cf907cd9e8f94a93937a6360363420b2.apig.cn-east-3.huaweicloudapis.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
ywyn.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
54.208.114.182,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
smartsoftware-cisco.com,Domain,--,--,--,--
frostyfoodco.duckdns.org,Domain,Remcos,--,--,--
mechanicalpointer.ddnsgeek.com,Domain,Remcos,--,--,--
sharefileoffice365.com,Domain,SlashNext:SocialEngineering,--,--,--
share-file-office-drive.com,Domain,SlashNext:SocialEngineering,--,--,--
sharingfiledriveone.com,Domain,--,--,--,--
3.214.228.36,IP Address,Meterpreter,--,--,Command & Control (C2)
xcoderreal-20015.portmap.host,Domain,Quasar,--,--,Actions on Objectives
chicken.whysteviecantdate.com,Domain,Pony,--,--,--
chemicals.whysteviecantdate.com,Domain,Pony,--,--,--
chicago.whysteviecantdate.com,Domain,Pony,--,--,--
chief.whysteviecantdate.com,Domain,Pony,--,--,--
anchovy-ready-robin.ngrok-free.app,Domain,DarkComet,--,--,--
alphyoworksplat.com,Domain,QuantLoader,GURU SPIDER,--,--
abgh.gotdns.ch,Domain,Comome,--,--,--
manediaz14.duckdns.org,Domain,AsyncRAT,--,--,--
amroa-45383.portmap.io,Domain,Metasploit,--,--,Reconnaissance > Weaponization > Delivery > Exploitation > Installation > Command & Control (C2)
zejavefixuwid.tevav.co.za,Domain,PdfCaptchaLure21,--,--,Installation
84.54.51.68,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
firstonenow.buyshouses.net,Domain,AsyncRAT,--,--,--
vugopovu.wirut.co.za,Domain,PdfCaptchaLure21,--,--,Installation
rzg.distributors.commdistinc.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
xuzurategit.wirut.co.za,Domain,PdfCaptchaLure21,--,--,Installation
cceqwddasyay22.com,Domain,Octo,--,--,--
siparisleriniz.pro,Domain,Octo,--,--,--
baswas25sa.com,Domain,Octo,--,--,--
essmqeew32cc1x.ru,Domain,Octo,--,--,--
ru3uasssjs4122.ru,Domain,Octo,--,--,--
43.129.30.209,IP Address,ChangemeRAT,--,--,Command & Control (C2)
letitinfo.su,Domain,SmokeLoader,--,--,--
letitbit.su,Domain,SmokeLoader,--,--,--
burchwood-22141.portmap.host,Domain,Quasar,--,--,Actions on Objectives
www.disneytv.net,Domain,--,STARDUST CHOLLIMA,--,Command & Control (C2)
tools-ski.gl.at.ply.gg,Domain,njRAT,--,--,--
ethers.securitytactics.com,Domain,Quasar,--,--,Actions on Objectives
178.204.207.198,IP Address,njRAT,--,--,Command & Control (C2)
xn--amercafrst-0ubd.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
oliverjohnson1403.ddns.net,Domain,NanoCore,--,--,--
157.90.203.171,IP Address,NanoCore,--,--,Command & Control (C2)
centre-medicare.gl.at.ply.gg,Domain,njRATLime,--,--,--
strongandliving.ddnsfree.com,Domain,AsyncRAT,--,--,--
mcpanel.hackcrack.io,Domain,njRAT,--,--,--
check-session.site,Domain,--,--,--,--
147.78.103.157,IP Address,Rhadamanthys,--,--,Command & Control (C2)
dpkkdd.xyz,Domain,ChangemeRAT,--,--,Command & Control (C2)
cobs.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
ritarpovver.com,Domain,Pony,--,--,--
8.138.108.62,IP Address,Piccoload,--,--,Installation > Command & Control (C2)
157.40.65.168,IP Address,AhMyth,--,--,Command & Control (C2) > Actions on Objectives
qsjdc.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
188.215.235.119,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
meridianresourcellc.top,Domain,LokiBot,--,--,--
xasrteop.top,Domain,--,--,--,--
dadarwe.top,Domain,--,--,--,--
connection.lockscreen.kro.kr,Domain,--,--,--,Command & Control (C2)
www.rginfotechnology.com,Domain,--,--,--,--
hiwpt.edu.sa,Domain,--,--,--,--
metalaus.ge,Domain,--,--,--,--
rginfotechnology.com,Domain,--,--,--,--
setimetntalatsuirity.ddnsfree.com,Domain,Remcos,--,--,--
unilateralcospilino.duckdns.org,Domain,Remcos,--,--,--
193.27.208.127,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
92.63.197.99,IP Address,Azorult,--,--,Command & Control (C2)
62.234.14.245,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
79.18.143.212,IP Address,Salityv3,SALTY SPIDER,--,--
85.253.160.14,IP Address,AnchorDNS,WIZARD SPIDER,--,Command & Control (C2)
76.125.228.36,IP Address,AnchorDNS,WIZARD SPIDER,--,Command & Control (C2)
20.191.101.107,IP Address,AsyncRAT,--,--,Command & Control (C2)
164.92.174.168,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
hayash.xyz,Domain,fakeApp,--,--,--
syberspace.sytes.net,Domain,NanoCore,--,--,--
185.220.101.172,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
45.80.151.200,IP Address,--,--,--,--
peoplehraccesscloud.online,Domain,--,--,--,--
zoom.pm,Domain,--,--,--,--
37.120.235.114,IP Address,Remcos,--,--,Command & Control (C2)
107.175.229.141,IP Address,Remcos,--,--,Command & Control (C2)
mohammed7733.myq-see.com,Domain,njRAT,--,--,--
zupigumubaxetem.oapsirs.com,Domain,PdfCaptchaLure21,--,--,Installation
staff-regarded.gl.at.ply.gg,Domain,njRATLime,--,--,--
60.210.197.163,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
140.99.164.56,IP Address,--,--,--,--
185.158.248.161,IP Address,--,--,--,--
egyptican.com,Domain,--,--,--,--
saudiday.org,Domain,--,--,--,--
103.78.0.39,IP Address,Warzone,--,--,Command & Control (C2)
86.106.20.135,IP Address,Keyplug,HORDE PANDA,--,--
meteorcorie.com,Domain,Keyplug,HORDE PANDA,--,--
cdn181.awsdns-531.com,Domain,--,--,--,Command & Control (C2)
147.78.103.128,IP Address,Rhadamanthys,--,--,Command & Control (C2)
world-hulu.com,Domain,--,--,--,--
my-mangolanguages.com,Domain,--,--,--,--
huluworldtv.com,Domain,--,--,--,--
101.237.34.239,IP Address,AsyncRAT,--,--,Command & Control (C2)
login.vodafone-sso.net,Domain,SlashNext:SocialEngineering,--,--,--
account.charter-help.com,Domain,--,--,--,--
ecierx.co,Domain,--,--,--,--
eclerx-vpn.com,Domain,--,--,--,--
login.charter-help.com,Domain,--,--,--,--
account.vodafone-sso.net,Domain,--,--,--,--
vodafone-sso.net,Domain,--,--,--,--
eclerx-help.com,Domain,--,--,--,--
charter-help.com,Domain,--,--,--,--
qubee.tikmicro.info,Domain,--,VICEROY TIGER,--,--
vfmxg.tikmicro.info,Domain,--,VICEROY TIGER,--,--
srspr.tikmicro.info,Domain,--,VICEROY TIGER,--,--
192.169.6.122,IP Address,Meterpreter,--,--,Command & Control (C2)
dnasso.xyz,Domain,--,--,--,--
telekom-sso.com,Domain,--,--,--,--
ee-sso.com,Domain,--,--,--,--
01hqqjev91p0ke2ewkstectqrk00-dd70c680ec88df167b51.requestinspector.com,Domain,--,--,--,--
01hk53zn4bm0ea93rwsfafy2jr00-05b4603e6c203bc2d5b2.requestinspector.com,Domain,--,--,--,--
taking-podcast.gl.at.ply.gg,Domain,njRATLime,--,--,--
office365.homes,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
93.95.231.45,IP Address,--,--,--,--
95.164.22.107,IP Address,--,--,--,--
193.168.141.29,IP Address,--,--,--,--
202.57.209.165,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
ofniu.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
45.61.143.47,IP Address,"Meterpreter, PlatypusTermite",--,--,Command & Control (C2)
p-significance.gl.at.ply.gg,Domain,AsyncRAT,--,--,--
www.chiante1ecom.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
47.244.169.245,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
ns2.jjbo.live,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
ns3.jjbo.live,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
ns1.jjbo.live,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
www.aliguru.xyz,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
192.210.200.66,IP Address,PlatypusTermite,--,--,Command & Control (C2)
159.112.143.130,IP Address,AsyncRAT,--,--,Command & Control (C2)
cesarepaci.wm01.to,Domain,WebMonitor,--,--,--
common-congratulations.gl.at.ply.gg,Domain,Quasar,--,--,Actions on Objectives
194.147.140.180,IP Address,Remcos,--,--,Command & Control (C2)
guzas.wm01.to,Domain,WebMonitor,--,--,--
handoogen.wm01.to,Domain,WebMonitor,--,--,--
clearmind.wm01.to,Domain,WebMonitor,--,--,--
determined-dream-06854.pktriot.net,Domain,DarkComet,--,--,--
185.144.28.50,IP Address,"Quasar, SlashNext:SocialEngineering",--,--,Command & Control (C2) > Actions on Objectives
80.85.154.22,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
phpsitegooddecoder.com,Domain,Tinba,--,--,--
unruffled-dew-35360.pktriot.net,Domain,DarkComet,--,--,--
rofhowlacet.com,Domain,Zloader,--,--,--
replafejust.com,Domain,Zloader,--,--,--
sleepy-grass-43375.pktriot.net,Domain,DarkComet,--,--,--
popoxxl-37714.portmap.host,Domain,Quasar,--,--,Actions on Objectives
71.236.149.160,IP Address,AsyncRAT,--,--,Command & Control (C2)
172.190.111.17,IP Address,AhMyth,--,--,Command & Control (C2) > Actions on Objectives
188.0.99.231,IP Address,njRATLime,--,--,Command & Control (C2)
du31dizn7z52l.cloudfront.net,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
d3f2p1ndix0ske.cloudfront.net,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
dcv.layout.oystergardens.us,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
www.dommershuijzen.nu,Domain,KeyBase,--,--,--
www.dwtrade.biz,Domain,KeyBase,--,--,--
7aldima5aktn6ua7.onion,Domain,Kronos,--,--,--
cloud-container.azureedge.net,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
ms-cloud.azureedge.net,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
teams-cloud.azureedge.net,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
hamdanali7-48942.portmap.io,Domain,Quasar,--,--,Actions on Objectives
65.21.119.55,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
fastresolve.dnscached.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
dnscached.com,Domain,CobaltStrike,--,--,Delivery > Command & Control (C2)
rhmg.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
188.119.112.100,IP Address,Rhadamanthys,--,--,Command & Control (C2)
xxnb.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
jackneslon.duckdns.org,Domain,RevengeRAT,--,--,--
strekhost2090.con-ip.com,Domain,AsyncRAT,--,--,--
goldrabbita-52144.portmap.host,Domain,Quasar,--,--,Actions on Objectives
38.180.91.75,IP Address,AsyncRAT,--,--,Command & Control (C2)
vigorous-snowflake-07654.pktriot.net,Domain,AsyncRAT,--,--,--
ok-examination.gl.at.ply.gg,Domain,njRATLime,--,--,--
88.151.192.35,IP Address,Padfoot,--,--,Delivery > Command & Control (C2)
139.28.38.46,IP Address,Padfoot,--,--,Delivery > Command & Control (C2)
31.171.155.50,IP Address,Adwind,--,--,Command & Control (C2)
barkalanazel.com,Domain,Octo,--,--,--
barkalandanzel.com,Domain,Octo,--,--,--
the-new-age.co.ua,Domain,Remcos,--,--,--
19.ip.gl.ply.gg,Domain,AsyncRAT,--,--,--
bammboo.ddns.net,Domain,AsyncRAT,--,--,--
4.252.92.17,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
5.42.65.68,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
googleservices.ddnsfree.com,Domain,njRAT,--,--,--
sach0000.ddns.net,Domain,NanoCore,--,--,--
216.250.118.219,IP Address,Meterpreter,--,--,Command & Control (C2)
49.88.26.175,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
nors.theworkpc.com,Domain,AsyncRAT,--,--,--
medankanaragel.com,Domain,Octo,--,--,--
medascapy1.com,Domain,Octo,--,--,--
medankarakalda.com,Domain,Octo,--,--,--
medasacapay2.com,Domain,Octo,--,--,--
84.247.116.188,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
43.132.212.97,IP Address,Meterpreter,--,--,Command & Control (C2)
sfm.distributors.commdistinc.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
188.166.169.127,IP Address,RedLineStealer,--,--,Command & Control (C2) > Actions on Objectives
luisro2158.duckdns.org,Domain,njRAT,--,--,--
184.170.252.170,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
halal.home-webserver.de,Domain,Warzone,--,--,--
45.133.193.41,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
95.216.228.180,IP Address,Rhadamanthys,--,--,Command & Control (C2)
newerra.duckdns.org,Domain,Remcos,--,--,--
dc2121mr.duckdns.org,Domain,AsyncRAT,--,--,--
1.64.64.63,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
nesipraviprob-28040.portmap.host,Domain,AsyncRAT,--,--,--
badbutperfect.com,Domain,DarkGate,--,--,Actions on Objectives
81.15.19.184,IP Address,Meterpreter,--,--,Command & Control (C2)
betawolf.ddns.net,Domain,NanoCore,--,--,--
alphawolf.ddns.net,Domain,NanoCore,--,--,--
185.161.208.123,IP Address,Remcos,--,--,Command & Control (C2)
accountskakao.daun.o-r.kr,Domain,--,VELVET CHOLLIMA,--,--
ng.blogaccout.n-e.kr,Domain,--,VELVET CHOLLIMA,--,--
27.255.75.165,IP Address,--,VELVET CHOLLIMA,--,--
27.255.81.110,IP Address,--,VELVET CHOLLIMA,--,--
ttk.delcoo.o-r.kr,Domain,--,VELVET CHOLLIMA,--,--
27.255.81.113,IP Address,--,VELVET CHOLLIMA,--,--
27.255.81.82,IP Address,--,VELVET CHOLLIMA,--,--
123.99.200.185,IP Address,AsyncRAT,--,--,Command & Control (C2)
85.239.54.190,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
packet-tracer.com,Domain,--,--,--,--
aimp.link,Domain,--,--,--,--
7-zip.click,Domain,--,--,--,--
winamp.in,Domain,--,--,--,--
videolan.in,Domain,--,--,--,--
puppet.pm,Domain,--,--,--,--
103.35.191.74,IP Address,--,--,--,--
postgresql.click,Domain,--,--,--,--
103.35.191.76,IP Address,--,--,--,--
pgadmin.link,Domain,--,--,--,--
131.153.236.30,IP Address,--,--,--,--
download-plugin.com,Domain,--,--,--,--
eutmsomaila.eu,Domain,--,--,--,--
eutnsomaiia.eu,Domain,--,--,--,--
193.109.120.12,IP Address,--,--,--,--
204.93.149.129,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
6.246.8.94,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
qikae.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
185.172.128.209,IP Address,Stealc,--,--,Installation > Command & Control (C2)
localhostserver8080.ddns.net,Domain,AsyncRAT,--,--,--
102.44.23.231,IP Address,AsyncRAT,--,--,Command & Control (C2)
su1mah5i.com,Domain,--,--,--,--
111.173.116.82,IP Address,AsyncRAT,--,--,Command & Control (C2)
qwgn.round.fishingreelinvestment.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
154.16.10.161,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
afy.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
abcdevfasdbg.ddns.net,Domain,DarkComet,--,--,--
191.101.31.15,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
serclimly.info,Domain,--,VICEROY TIGER,--,--
mtgeconomy.com,Domain,--,--,--,--
jordansons.com,Domain,--,--,--,--
toysgift.store,Domain,--,VICEROY TIGER,--,--
shop.toysgift.store,Domain,--,VICEROY TIGER,--,--
tasterchoice.store,Domain,--,VICEROY TIGER,--,--
shop.tasterchoice.store,Domain,--,VICEROY TIGER,--,--
blogs.pakdw.live,Domain,--,VICEROY TIGER,--,--
pakdw.live,Domain,--,VICEROY TIGER,--,--
178.253.32.147,IP Address,AsyncRAT,--,--,Command & Control (C2)
pop55.3322.org,Domain,Gh0stRAT,--,--,--
piperoerr04.top,Domain,CryptBot,--,--,Delivery > Actions on Objectives
27.211.21.235,IP Address,Salityv3,SALTY SPIDER,--,--
google-15-node.giize.com,Domain,Quasar,--,--,Actions on Objectives
icj.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
217.12.206.93,IP Address,TMStealer,--,--,Command & Control (C2) > Actions on Objectives
37.46.113.184,IP Address,RisePro,--,--,Command & Control (C2) > Actions on Objectives
shopiping.cn,Domain,ChangemeRAT,--,--,Command & Control (C2)
fpllh.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
47.93.13.184,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
sxh.workout.oystergardener.net,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
156.251.25.132,IP Address,ChangemeRAT,--,--,Command & Control (C2)
47.92.30.228,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
104.233.169.237,IP Address,Quasar,--,--,Command & Control (C2) > Actions on Objectives
64.23.200.76,IP Address,AsyncRAT,--,--,Command & Control (C2)
123.110.248.225,IP Address,Salityv3,SALTY SPIDER,--,--
106.38.201.39,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
46.183.222.88,IP Address,Adwind,--,--,Command & Control (C2)
zed.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
fat221.ddns.net,Domain,"NanoCore, Xworm",--,--,--
176.31.196.206,IP Address,Remcos,--,--,Command & Control (C2)
imaxatmonk.imaxatmonk.com,Domain,Remcos,--,--,--
own-engineer.gl.at.ply.gg,Domain,"AsyncRAT, Xworm",--,--,--
kamalankaranda.com,Domain,Octo,--,--,--
sayankarakam2.com,Domain,Octo,--,--,--
kanardansaydan1.com,Domain,Octo,--,--,--
kamanbarsayan.com,Domain,Octo,--,--,--
vqm.policy.donnafrey.com,Domain,"FakeBrowserUpdate, FakeBrowserUpdate_Loader",--,--,Delivery
proremm1.duckdns.org,Domain,Remcos,--,--,--
jdouzoui75-42290.portmap.host,Domain,Quasar,--,--,Actions on Objectives
sachapitax-34521.portmap.host,Domain,Quasar,--,--,Actions on Objectives
heart-julie.gl.at.ply.gg,Domain,Quasar,--,--,Actions on Objectives
2.59.119.181,IP Address,DarkComet,--,--,Command & Control (C2)
210.79.134.20,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
119.45.45.138,IP Address,CobaltStrike,--,--,Delivery > Command & Control (C2)
